,Job Title,Company,Date Posted,Post Link,Description
38,Software Engineers - Python – All Levels,Brightwater,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Software-Engineers-Python-All-Levels-8777171.aspx,They and have an immediate requirement for Software Engineers specialising in Python to join on a contract basis and to work on very interesting technical projects. My client is building a team to work on an all-new project and they have immediate opportunities for a talented Software Engineers with a focus on Python to join their team. * Python 3.x
39,Software Engineer- Python,Brightwater,Updated 26/04/2022,https://www.irishjobs.ie/Jobs/Software-Engineer-Python-8776892.aspx,My client has an immediate requirement for a talented senior Python developer to work in the Risk & Finance Technology team. You will be responsible for designing and developing web-based Python solutions to help solve complex business problems within one of the most interesting parts of one of the world’s largest banks. Comprehensive knowledge of Python
40,Senior Big Data Engineers (Spark Hadoop),Morgan McKinley,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Senior-Big-Data-Engineers-Spark-8783618.aspx,"Strong - Spark, Python/Scala/Java, Hadoop, Cloud (AWS, Azure, GCP) Spark Hadoop Python Scala AWS Azure - Senior Big Data Engineers Perm 80-120K + benefits Contract €500 - €650.day Mostly Remote / Dublin A leading fintech company based in Dublin are - Senior Big Data Engineers - Perm 80-120K + benefits - Contract €500 - €650.day - Mostly Remote / Dublin"
41,Senior Data Engineer - Big Data!,Archer Recruitment,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Senior-Data-Engineer-Big-Data-8784101.aspx,"""Big Data"" ""Spark"" ""Scala"" ""AWS"" ""Data Engineer"" ""Data Pipeline"" ""Python"" This is an excellent opportunity for a Data Engineer to take on a startup feel with the backing of a huge, global - This is an excellent opportunity for a Data Engineer to take on a startup feel with the backing of a huge, global company."
42,Senior Software Engineer,Reperio Human Capital Ltd,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Senior-Software-Engineer-8783529.aspx,"Python | Ruby | Golang | Rust - You will ideally have experience working with one of the following OOP languages - Python, Ruby, Golang or Rust. * 4+ years working with an OOP language - Python/Ruby/Golang/Rust - Senior Developer Engineer Python Ruby Golang Ireland - Language Agnostic - Ireland - Permanent Full-Time"
43,Full Stack Software Engineer,Computer Futures,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Full-Stack-Software-Engineer-8783024.aspx,"Front end development using HTML5, CSS, JavaScript and associated frameworks (Angular, React, Backbone, Node), JSON APIs, Unix Scripting (Python, Shell). The company: My client is a leading supplier of storage array systems, providing solutions to customers who are seeking a flexible, scalable and"
44,Senior Software Developer,Azon,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Senior-Software-Developer-8784022.aspx,"At least 4-5 years programming experience with Python Python AWS MySQL Git Java - We have partnered with an international, renewables focused, energy trading and services company to recruit for a Senior Software Developer for their Dublin or Letterkenny office."
45,Senior Software Engineer,Sysnet Global Solutions,Updated 09/05/2022,https://www.irishjobs.ie/Jobs/Senior-Software-Engineer-8769771.aspx,"Python Java Python Grails django SQL - Established in 1989, Sysnet Global Solutions/ VikingCloud is a leading global provider of cyber security and compliance management solutions to large acquiring organisations and their merchants."
46,Cloud Native Senior Software Engineer,Intel,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Cloud-Native-Senior-Software-Engineer-8783817.aspx,"Preferred Qualifications:Experience in Programming with at least one of the following languages: Golang, Java , Python , C/C++ Experience building distributed applications running in Cloud or HPC with cloud orchestration related technologies eg Kubernetes Docker etcLinux development experience eg Device Drivers Kernel and ..."
47,Cloud Networking Software Engineer,Intel,Updated 10/05/2022,https://www.irishjobs.ie/Jobs/Cloud-Networking-Software-Engineer-8783824.aspx,"Proficient with various programming languages with focus on C++, Go, Python, for automation or integration with multiple APIs (REST, etc). Job Description Join Intel and build a better tomorrow. Intel is in the midst of an exciting transformation, with a vision to create and extend - Job Description - Join Intel and build a better tomorrow."
