"Address,""Port"",""Packets"",""Bytes"",""Tx Packets"",""Tx Bytes"",""Rx Packets"",""Rx Bytes"""
"192.168.3.131,56318,9,3572,5,927,4,2645"
"192.168.3.131,56325,9,3643,5,928,4,2715"
"192.168.3.131,56357,9,3572,5,927,4,2645"
"192.168.3.131,56362,9,3023,5,928,4,2095"
"192.168.3.131,58608,10,3589,5,879,5,2710"
"192.168.3.131,56401,10,3382,5,1681,5,1701"
"192.168.3.131,56420,8,1926,5,869,3,1057"
"192.168.3.131,58666,10,3749,5,879,5,2870"
"192.168.3.131,58667,11,4390,5,913,6,3477"
"192.168.3.131,56495,9,3633,5,914,4,2719"
"192.168.3.131,56499,9,2825,5,1529,4,1296"
"192.168.3.131,56506,9,3602,5,901,4,2701"
"192.168.3.131,58737,11,4443,5,912,6,3531"
"192.168.3.131,58750,10,4009,5,912,5,3097"
"192.168.3.131,58757,11,4238,5,912,6,3326"
"192.168.3.131,58766,11,4302,5,912,6,3390"
"192.168.3.131,58777,12,4694,5,912,7,3782"
"192.168.3.131,58786,11,4152,5,878,6,3274"
"192.168.3.131,58788,10,3773,5,878,5,2895"
"192.168.3.131,58830,10,3596,5,878,5,2718"
"192.168.3.131,58831,9,1039,5,581,4,458"
"172.16.255.1,10714,10,928,5,347,5,581"
"72.14.213.102,80,9,1953,4,727,5,1226"
"192.168.3.131,55953,6,1099,4,689,2,410"
"192.168.3.131,55961,7,1634,4,932,3,702"
"63.215.202.48,80,10,1709,4,858,6,851"
"72.14.213.105,443,6,434,4,326,2,108"
"192.168.3.131,56023,7,1168,4,725,3,443"
"192.168.3.131,56049,8,2753,4,768,4,1985"
"192.168.3.131,56053,11,3348,4,228,7,3120"
"192.168.3.131,56134,10,2060,4,228,6,1832"
"12.129.210.71,80,9,3579,4,2413,5,1166"
"10.0.2.15,2498,6,336,4,216,2,120"
"207.46.105.186,80,10,1054,4,325,6,729"
"192.168.3.131,56421,8,3407,4,943,4,2464"
"72.14.213.149,80,8,3407,4,2464,4,943"
"192.168.3.131,57149,6,336,4,216,2,120"
"192.168.3.131,57121,6,336,4,216,2,120"
"192.168.3.131,57173,6,336,4,216,2,120"
"192.168.3.131,57150,6,336,4,216,2,120"
"192.168.3.131,57145,6,336,4,216,2,120"
